label,category,time
"100,000",FileScale,85
"100,000",FileScale,92
"100,000",FileScale,95
"10,000",FileScale,28
"10,000",FileScale,27
"10,000",FileScale,32
1000,FileScale,15
1000,FileScale,13
1000,FileScale,16
100,FileScale,12
100,FileScale,11
100,FileScale,11
10,FileScale,11
10,FileScale,11
10,FileScale,11
"1,000,000",FileScale,309
"1,000,000",FileScale,309
"1,000,000",FileScale,318
"100,000",HDFS,85
"100,000",HDFS,93
"100,000",HDFS,94
"10,000",HDFS,29
"10,000",HDFS,29
"10,000",HDFS,30
1000,HDFS,16
1000,HDFS,13
1000,HDFS,14
100,HDFS,10
100,HDFS,10
100,HDFS,10
10,HDFS,10
10,HDFS,9
10,HDFS,11
"1,000,000",HDFS,310
"1,000,000",HDFS,319
"1,000,000",HDFS,321
