label,Category,Value
10,dist_{100%},60
10,dist_{100%},67
10,dist_{100%},72
10,dist_{50%},42
10,dist_{50%},48
10,dist_{50%},50
10,dist_{0%},36
10,dist_{0%},35
10,dist_{0%},36
1000,dist_{100%},762
1000,dist_{100%},755
1000,dist_{100%},755
1000,dist_{50%},450
1000,dist_{50%},558
1000,dist_{0%},95
1000,dist_{0%},90
1000,dist_{0%},90
10000,dist_{100%},9453
10000,dist_{100%},9153
10000,dist_{100%},9653
10000,dist_{50%},7336
10000,dist_{50%},7236
10000,dist_{50%},7136
10000,dist_{0%},2920
10000,dist_{0%},2756
10000,dist_{0%},2800
100000,dist_{100%},76450
100000,dist_{100%},76450
100000,dist_{100%},77450
100000,dist_{50%},39078
100000,dist_{50%},38030
100000,dist_{50%},38030
100000,dist_{0%},6509
100000,dist_{0%},6509
100000,dist_{0%},6009
10,local,23
10,local,30
1000,local,47
1000,local,58
10000,local,122
10000,local,148
100000,local,499
100000,local,572
